room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name
shared room,lisbon,arroios,103.0,5.0,1,1.0,24.0,be lisbon hostel
shared room,lisbon,avenidas novas,1.0,0.0,6,1.0,30.0,brother`s hostel
shared room,lisbon,são vicente,11.0,4.5,1,1.0,18.0,lisboa arte hostel - shared room 2
shared room,lisbon,santo antónio,10.0,4.0,9,1.0,20.0,9-bed shared dorm
shared room,lisbon,areeiro,1.0,0.0,3,1.0,20.0,beautiful room near downtown lisbon
shared room,lisbon,arroios,27.0,4.5,3,1.0,14.0,fly to lisbon hostel 3 mixed bed dorm
shared room,lisbon,areeiro,57.0,4.5,4,1.0,18.0,mini hostel in lisbon. room for 4 guests
shared room,lisbon,santa maria maior,3.0,4.5,1,1.0,23.0,lisboa tu & eu hostel - vii
shared room,lisbon,benfica,3.0,5.0,2,1.0,27.0,"lisboa, cheap room"
shared room,lisbon,avenidas novas,46.0,4.5,4,1.0,22.0,lisbon forever hostel 4 beds dorm
shared room,lisbon,arroios,10.0,5.0,1,1.0,18.0,room gani bairro alto one
shared room,lisbon,arroios,57.0,5.0,1,1.0,21.0,be lisbon hostel
entire home/apt,lisbon,misericórdia,46.0,5.0,6,2.0,143.0,"bairro alto, chiado trendy"
entire home/apt,lisbon,santa maria maior,149.0,4.5,7,3.0,131.0,3lx - lowcost apartments - baixa-chiado
entire home/apt,lisbon,santa maria maior,21.0,5.0,6,2.0,113.0,breathing lisbon apartments - muralha apartment
entire home/apt,lisbon,santa maria maior,1.0,0.0,6,3.0,119.0,vistas de lisboa apartment ii
entire home/apt,lisbon,santa maria maior,37.0,4.0,6,3.0,107.0,chiado | center|  typical apartment
entire home/apt,lisbon,misericórdia,141.0,4.5,6,2.0,112.0,staying in bairro alto!
entire home/apt,lisbon,misericórdia,86.0,4.5,6,3.0,114.0,large apartment historic lisbon 3bd
entire home/apt,lisbon,misericórdia,6.0,4.0,6,2.0,90.0,apartamento glamoroso c/varanda
entire home/apt,lisbon,santa maria maior,54.0,4.5,6,2.0,99.0,!!!overwhelming view of lisbon!!!
entire home/apt,lisbon,santa maria maior,2.0,0.0,6,3.0,100.0,incredible house of marquês
entire home/apt,lisbon,santa maria maior,77.0,4.5,6,2.0,91.0,house lisbon apartment alfama
entire home/apt,lisbon,misericórdia,160.0,4.5,6,2.0,102.0,beautiful bairro alto apartment
entire home/apt,lisbon,misericórdia,7.0,5.0,6,2.0,82.0,typic duplex in bairro alto
entire home/apt,lisbon,campo de ourique,55.0,5.0,5,3.0,193.0,top quality apartment in amoreiras
entire home/apt,lisbon,parque das nações,27.0,5.0,7,3.0,144.0,luxury penthouse w spacious balcony
entire home/apt,lisbon,lumiar,2.0,0.0,4,1.0,66.0,lisbon campo grande family weekend
entire home/apt,lisbon,parque das nações,21.0,4.5,5,2.0,78.0,charming apartment - 2 bedrooms & garage
entire home/apt,lisbon,campolide,1.0,0.0,15,8.0,781.0,mega mansion | lisbon student house
entire home/apt,lisbon,santa maria maior,1.0,0.0,4,1.0,216.0,cobbler's apartment downtown lisbon
entire home/apt,lisbon,santa maria maior,2.0,0.0,6,2.0,193.0,"charm, cozy, flat ""tram 28"" (4-6 p)"
entire home/apt,lisbon,são vicente,1.0,0.0,6,3.0,193.0,graça terrace 3 - ghesthouse
entire home/apt,lisbon,são vicente,55.0,4.5,8,3.0,202.0,modern townhouse in old lisbon
entire home/apt,lisbon,parque das nações,1.0,0.0,6,2.0,184.0,"parque das nações, gare oriente / fil / meo arena"
entire home/apt,lisbon,santa maria maior,3.0,3.0,4,1.0,107.0,contador mor castle apartment
entire home/apt,lisbon,parque das nações,2.0,0.0,4,1.0,121.0,urban deluxe apartment
entire home/apt,lisbon,santa maria maior,56.0,5.0,4,1.0,88.0,sé cosy apartament
entire home/apt,lisbon,santa maria maior,57.0,5.0,3,1.0,83.0,lisboa alfama apartment
entire home/apt,lisbon,santa maria maior,54.0,5.0,4,2.0,94.0,the heart of alfama
entire home/apt,lisbon,parque das nações,24.0,4.5,3,1.0,90.0,confortable and spacious t1 flat
entire home/apt,lisbon,parque das nações,1.0,0.0,4,2.0,78.0,apartamento do alto
entire home/apt,lisbon,parque das nações,1.0,0.0,4,2.0,54.0,"nice apt. nearby airport, shoping centre & subway"
entire home/apt,lisbon,misericórdia,9.0,4.5,5,2.0,46.0,zen & vintage great flat wi-fi
entire home/apt,lisbon,estrela,3.0,5.0,16,10.0,1177.0,lapa 82 boutique b&b - entire house
entire home/apt,lisbon,santa maria maior,2.0,0.0,16,10.0,577.0,lost lisbon chiado house
entire home/apt,lisbon,misericórdia,1.0,0.0,6,2.0,327.0,two-bedroom apartment | residentas
entire home/apt,lisbon,santo antónio,48.0,5.0,10,4.0,361.0,phoenix golden lisbon principe real apartment
entire home/apt,lisbon,misericórdia,72.0,4.5,14,5.0,324.0,pensão rosinha art gallery house 
entire home/apt,lisbon,santa maria maior,21.0,5.0,12,4.0,312.0,in the heart of lisbon
entire home/apt,lisbon,misericórdia,29.0,5.0,8,4.0,382.0,wonderful apartment alecrim 3b
entire home/apt,lisbon,estrela,14.0,4.5,9,4.0,361.0,magic view in old libon  luxury
entire home/apt,lisbon,ajuda,4.0,5.0,12,9.0,229.0,"xix century house,terrace,fireplace"
entire home/apt,lisbon,misericórdia,39.0,5.0,5,3.0,216.0,cosy & stylish 3b home in chiado
entire home/apt,lisbon,santa maria maior,65.0,4.5,16,5.0,300.0,central downtown 5 rooms 17ppl (1d)
entire home/apt,lisbon,misericórdia,26.0,4.5,15,6.0,239.0,chiado_piso
entire home/apt,lisbon,misericórdia,23.0,4.5,16,9.0,300.0,"bairro alto palace, 9 rooms for 24 guests, al35868"
entire home/apt,lisbon,misericórdia,42.0,5.0,6,3.0,229.0,duplex with stunning river view i
entire home/apt,lisbon,santa maria maior,2.0,0.0,2,0.0,216.0,gilders penthouse studio river view
entire home/apt,lisbon,santa maria maior,2.0,0.0,6,3.0,300.0,city center seaview apartment
entire home/apt,lisbon,santo antónio,37.0,4.5,14,5.0,240.0,lux 5 bedroom apartment w/ spa bath
entire home/apt,lisbon,santa maria maior,19.0,4.5,6,3.0,187.0,"the best - in ""fashion"" bairro alto"
entire home/apt,lisbon,são vicente,5.0,5.0,6,2.0,186.0,design apartment alfama with art!
entire home/apt,lisbon,arroios,1.0,0.0,6,3.0,186.0,aptmt with 90m2 private garden
entire home/apt,lisbon,parque das nações,2.0,0.0,8,4.0,193.0,amazing tejo view - parque das nações - lisboa
entire home/apt,lisbon,misericórdia,2.0,0.0,8,4.0,204.0,bonito apartamento poço dos negros
entire home/apt,lisbon,santa maria maior,85.0,5.0,8,3.0,186.0,castelo patio apartment 6-8 persons
entire home/apt,lisbon,misericórdia,2.0,0.0,6,2.0,187.0,lisbon five stars gaivotas 18 - 2 bedroom delux
entire home/apt,lisbon,santa maria maior,13.0,4.5,12,4.0,187.0,tejo breeze apartments
entire home/apt,lisbon,parque das nações,6.0,4.5,4,2.0,193.0,lisbon 17th floor river view apartment in expo
entire home/apt,lisbon,são vicente,13.0,4.5,16,6.0,193.0,big family/groups for 16 person
entire home/apt,lisbon,misericórdia,1.0,0.0,10,5.0,187.0,"blue point lisbon, bairro alto"
entire home/apt,lisbon,arroios,79.0,4.5,12,5.0,193.0,spacious and elegant family home
entire home/apt,lisbon,penha de frança,6.0,5.0,11,4.0,193.0,lisbon graffiti apartment. confortable & central
entire home/apt,lisbon,santo antónio,4.0,5.0,6,2.0,186.0,fantastic 2 bedroom apartment in historical area
entire home/apt,lisbon,santa maria maior,6.0,5.0,4,1.0,204.0,castelo residence-alfama lisboa - 24403/al
entire home/apt,lisbon,santa maria maior,48.0,4.5,16,5.0,198.0,central downtown 5 rooms 17ppl (4d)
entire home/apt,lisbon,misericórdia,47.0,5.0,4,2.0,204.0,"chiado lisboa loft of 250,0 m2  "
entire home/apt,lisbon,avenidas novas,29.0,5.0,5,2.0,193.0,lisbon light apartment
entire home/apt,lisbon,santa maria maior,17.0,5.0,5,1.0,193.0,catarina de bragança flat - chiado
entire home/apt,lisbon,belém,8.0,5.0,7,2.0,144.0,belem 1886 - river view
entire home/apt,lisbon,parque das nações,1.0,0.0,6,2.0,149.0,"parque das nações, oriente 57 | t2 river view |"
entire home/apt,lisbon,parque das nações,4.0,5.0,4,1.0,168.0,panoramic silk lisbon / parque das naçoes
entire home/apt,lisbon,belém,9.0,3.5,4,2.0,131.0,boutique style apt near belém tower
entire home/apt,lisbon,ajuda,18.0,5.0,6,3.0,144.0,"stunning apart in belem, parking"
entire home/apt,lisbon,santa maria maior,8.0,3.5,10,4.0,132.0,charming apartment - central lisbon
entire home/apt,lisbon,são vicente,2.0,0.0,4,2.0,144.0,modern penthouse river view 
entire home/apt,lisbon,santa maria maior,1.0,0.0,4,2.0,132.0,4 pax between castle and cathedral
entire home/apt,lisbon,belém,6.0,5.0,4,2.0,132.0,new: the tejo river as neighbor - bright rooms!
entire home/apt,lisbon,belém,17.0,5.0,7,1.0,144.0,historic belém with bbq area
entire home/apt,lisbon,parque das nações,6.0,4.5,4,2.0,132.0,prime apartment - parque nacoes - expo11
entire home/apt,lisbon,belém,1.0,0.0,6,2.0,108.0,galvão 4 - renewed apartment in belém
entire home/apt,lisbon,misericórdia,45.0,4.5,4,2.0,107.0,barroca place
entire home/apt,lisbon,parque das nações,11.0,5.0,6,3.0,107.0,casino lisboa house
entire home/apt,lisbon,parque das nações,1.0,0.0,5,2.0,117.0,apartamento parque das nações 4b
entire home/apt,lisbon,parque das nações,3.0,4.5,4,1.0,118.0,"apartamento t1 expo, lisboa"
entire home/apt,lisbon,parque das nações,2.0,0.0,4,2.0,90.0,lxway apartments panoramic
entire home/apt,lisbon,parque das nações,3.0,4.5,6,3.0,89.0,oriente dna redwood apt by w2lx
entire home/apt,lisbon,belém,53.0,4.5,6,3.0,72.0,belem bela vista apartment
entire home/apt,lisbon,ajuda,9.0,4.5,5,2.0,72.0,duplex madressilva 37 1ºesq.
entire home/apt,lisbon,benfica,3.0,4.5,2,1.0,72.0,homey benfica apartment - stadium
entire home/apt,lisbon,avenidas novas,6.0,5.0,6,3.0,80.0,central e confortável
entire home/apt,lisbon,parque das nações,12.0,4.5,6,3.0,74.0,modern apartment-great for families
entire home/apt,lisbon,parque das nações,19.0,5.0,6,2.0,79.0,sol à expo - luxury flat by the tagus river
entire home/apt,lisbon,parque das nações,1.0,0.0,4,1.0,72.0,welcome.. it will be a fantastic trip to lisbon!
entire home/apt,lisbon,olivais,6.0,4.5,3,2.0,68.0,nice flat by olivais
entire home/apt,lisbon,parque das nações,12.0,5.0,4,0.0,66.0,parque das nações  studio flat à côté de tejo
entire home/apt,lisbon,olivais,438.0,4.5,5,2.0,77.0,open space in lisbon close airport
entire home/apt,lisbon,belém,2.0,0.0,3,1.0,60.0,cosy riverside studios nº3
entire home/apt,lisbon,belém,9.0,5.0,2,1.0,46.0,new extra large bed in apartment with river view!
entire home/apt,lisbon,belém,9.0,4.5,5,2.0,60.0,great apartment in belém
entire home/apt,lisbon,estrela,15.0,5.0,2,1.0,43.0,doubleroom in a studioflat in the h
entire home/apt,lisbon,são vicente,23.0,4.5,2,1.0,52.0,cozy apartment-historical alfama
entire home/apt,lisbon,alcântara,6.0,4.5,4,1.0,42.0,vista magnifica sobre o tejo
