room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name
entire home/apt,lisbon,santo antónio,8.0,4.0,7,3.0,100.0,comfortable flat near marquês
entire home/apt,lisbon,são vicente,8.0,4.5,6,3.0,96.0,top flat at lisbon´s heart
entire home/apt,lisbon,arroios,10.0,4.0,8,4.0,96.0,lxway apartments love lisbon
entire home/apt,lisbon,são vicente,43.0,4.5,5,2.0,102.0,"sumac apartment, graça, lisbon"
entire home/apt,lisbon,arroios,16.0,5.0,10,5.0,102.0,king´s avenue lisbon apartment - city center
entire home/apt,lisbon,arroios,2.0,0.0,6,3.0,102.0,cozy apartment with private terrace (families)
entire home/apt,lisbon,arroios,12.0,5.0,6,4.0,102.0,intendente - chic & basic downtown lisbon
entire home/apt,lisbon,são vicente,9.0,5.0,7,2.0,94.0,graça /calçada do monte terrace apt
entire home/apt,lisbon,arroios,1.0,0.0,6,3.0,96.0,"safehouse-central, renovated, air-conditioned"
entire home/apt,lisbon,penha de frança,9.0,4.5,6,2.0,96.0,home sweet home
entire home/apt,lisbon,santa maria maior,109.0,5.0,4,1.0,84.0,"casa do duque, no centro chiado"
entire home/apt,lisbon,arroios,7.0,5.0,8,3.0,84.0,lisbon central apartments - black sofa apartment
entire home/apt,lisbon,arroios,24.0,5.0,4,1.0,84.0,tram28 city center duplex apartment- happy weekend
entire home/apt,lisbon,arroios,132.0,5.0,2,1.0,90.0,cozy&walking distance to everything
entire home/apt,lisbon,arroios,6.0,4.5,4,1.0,84.0,cozy & centrally located flat/wi-fi
entire home/apt,lisbon,são vicente,95.0,5.0,2,1.0,95.0,"trendy ♥ alfama, great river view! close to metro"
entire home/apt,lisbon,são vicente,5.0,5.0,6,2.0,90.0,family charming apartment in alfama lisbon
entire home/apt,lisbon,são vicente,12.0,5.0,4,1.0,95.0,balcony · vila berta
entire home/apt,lisbon,são vicente,42.0,5.0,4,1.0,96.0,modern apartment in graça with view
entire home/apt,lisbon,são vicente,8.0,5.0,4,1.0,96.0,graça very quiet & spacious w/terrace
entire home/apt,lisbon,santa maria maior,87.0,5.0,5,2.0,96.0,tagus deck
entire home/apt,lisbon,são vicente,4.0,5.0,5,2.0,96.0,graça homes t2
entire home/apt,lisbon,santa maria maior,5.0,5.0,2,1.0,96.0,era uma vez em lisboa
entire home/apt,lisbon,são vicente,10.0,5.0,4,1.0,84.0,charming apartment in city center with river view
entire home/apt,lisbon,santa maria maior,26.0,5.0,2,0.0,84.0,traditional studio in alfama's heart
entire home/apt,lisbon,santa maria maior,85.0,4.5,4,2.0,95.0,alfama 2 bedrooms al36697 lisbon&more
entire home/apt,lisbon,são vicente,2.0,0.0,4,1.0,90.0,bookme lisboa - vistejo
entire home/apt,lisbon,são vicente,80.0,5.0,6,2.0,97.0,"terrace, river&city view in alfama, gonzalo's home"
entire home/apt,lisbon,santa maria maior,21.0,5.0,4,2.0,95.0,home4l – alfama terrace 360º view
entire home/apt,lisbon,benfica,1.0,0.0,4,2.0,87.0,2 room apartmt in benfica view farm
entire home/apt,lisbon,benfica,2.0,0.0,5,3.0,84.0,retro style apartment
entire home/apt,lisbon,benfica,8.0,5.0,4,1.0,102.0,"telheiras residence, luxury apartment with pool!"
entire home/apt,lisbon,lumiar,1.0,0.0,5,1.0,96.0,hostel on wheels portugal campervans #3
entire home/apt,lisbon,carnide,3.0,4.5,6,3.0,87.0,lisbon sunset lovely house
entire home/apt,lisbon,parque das nações,9.0,4.0,2,1.0,94.0,apartamento parque das nações 4c
entire home/apt,lisbon,alvalade,10.0,5.0,8,3.0,87.0,oasis in lisbon
entire home/apt,lisbon,parque das nações,1.0,0.0,3,0.0,84.0,estúdio parque das nações
entire home/apt,lisbon,parque das nações,5.0,4.5,3,0.0,90.0,"estúdio, parque das nações "
entire home/apt,lisbon,areeiro,26.0,4.0,10,5.0,103.0,"e.1 lisbon ""praça de londres"" flat"
entire home/apt,lisbon,arroios,9.0,4.0,8,4.0,101.0,"""arroios terrace"" - with backyard"
entire home/apt,lisbon,avenidas novas,10.0,4.0,11,6.0,101.0,spacious apartment with balcony!
entire home/apt,lisbon,arroios,2.0,0.0,4,4.0,96.0,apartamento novo e central
entire home/apt,lisbon,areeiro,3.0,3.5,4,2.0,84.0,free airport transfer | central 5' metro station
entire home/apt,lisbon,parque das nações,4.0,4.5,4,2.0,88.0,rental apartment in lisbon
entire home/apt,lisbon,lumiar,1.0,0.0,6,2.0,102.0,apartamento clássico lisboa
entire home/apt,lisbon,parque das nações,3.0,4.5,2,1.0,94.0,luxury apt on parque das nações
entire home/apt,lisbon,alvalade,16.0,4.0,5,3.0,84.0,"3 bed apartment in alvalade, lisbon"
entire home/apt,lisbon,parque das nações,2.0,0.0,4,1.0,84.0,apartamento parque das nações 1a
entire home/apt,lisbon,areeiro,1.0,0.0,4,2.0,84.0,free airport transfer | central 5' metro station
entire home/apt,lisbon,avenidas novas,6.0,4.5,6,2.0,84.0,apartment fátima - be happy here
entire home/apt,lisbon,areeiro,12.0,4.5,6,2.0,102.0,welcome to lisbon art & family
entire home/apt,lisbon,parque das nações,4.0,5.0,4,1.0,84.0,apartamento moderno lisboa oceanario com garage
entire home/apt,lisbon,areeiro,16.0,5.0,8,3.0,96.0,campo pequeno - groups & children!
entire home/apt,lisbon,alvalade,5.0,4.5,5,3.0,90.0,casa anos 50: confortável e prática
entire home/apt,lisbon,são domingos de benfica,1.0,0.0,6,2.0,84.0,casinha cazoo!
entire home/apt,lisbon,alvalade,3.0,5.0,3,2.0,84.0,lisbon apartment - avenida de roma
entire home/apt,lisbon,parque das nações,1.0,0.0,4,1.0,84.0,apartamento parque das nações 1f
entire home/apt,lisbon,avenidas novas,10.0,5.0,5,3.0,102.0,"novo! no centro de lisboa, apartame"
entire home/apt,lisbon,avenidas novas,2.0,0.0,6,3.0,97.0,casa adele
entire home/apt,lisbon,avenidas novas,25.0,4.5,10,4.0,84.0,admiral palace penthouse
entire home/apt,lisbon,lumiar,1.0,0.0,4,1.0,90.0,near the airport! nice and cosy!
entire home/apt,lisbon,arroios,1.0,0.0,9,5.0,102.0,flat alameda for max. 9 persons with outside area
entire home/apt,lisbon,são domingos de benfica,25.0,4.5,4,2.0,90.0,"confy flat, very central! free wifi"
entire home/apt,lisbon,avenidas novas,3.0,5.0,10,6.0,89.0,new renovated central filipa 3l - 6 rooms
entire home/apt,lisbon,alvalade,9.0,4.5,6,2.0,96.0,beautiful 2 bdr/1 bath in the heart of alvalade
entire home/apt,lisbon,parque das nações,1.0,0.0,6,2.0,97.0,"parque das nações, rio | t2 river view |"
entire home/apt,lisbon,arroios,5.0,5.0,5,1.0,95.0,passion inn lisbon - maputo house
entire home/apt,lisbon,areeiro,1.0,0.0,4,1.0,84.0,olaias holidays
entire home/apt,lisbon,arroios,6.0,5.0,9,4.0,96.0,casa da avenida iii
entire home/apt,lisbon,lumiar,2.0,0.0,6,2.0,96.0,"casa rei dom dinis, lisboa, lumiar"
entire home/apt,lisbon,olivais,9.0,4.5,6,3.0,85.0,charming house near lisbon airport
entire home/apt,lisbon,parque das nações,1.0,0.0,4,1.0,94.0,apartamento parque das nações 2g
entire home/apt,lisbon,arroios,1.0,0.0,5,1.0,100.0,passion inn lisbon - tibete house
entire home/apt,lisbon,avenidas novas,45.0,5.0,3,1.0,84.0,modern 1 br flat in city centre!
entire home/apt,lisbon,alvalade,7.0,5.0,2,1.0,84.0,bordalo pinheiro apartment
entire home/apt,lisbon,arroios,66.0,5.0,2,1.0,96.0,cool flat
entire home/apt,lisbon,alvalade,2.0,0.0,2,1.0,84.0,nice apartment alvalade
entire home/apt,lisbon,arroios,15.0,4.5,6,3.0,102.0,visit lisbon.
entire home/apt,lisbon,avenidas novas,24.0,4.5,7,3.0,96.0,charming apartment on city center
entire home/apt,lisbon,parque das nações,1.0,0.0,5,2.0,102.0,"welcome here | joy (parque das nações, lisboa)"
entire home/apt,lisbon,areeiro,20.0,4.5,5,3.0,90.0,big sunny flat in lisbon center
entire home/apt,lisbon,penha de frança,1.0,0.0,5,2.0,84.0,ground floor apartment w/backyard
entire home/apt,lisbon,parque das nações,2.0,0.0,3,1.0,102.0,prime apartment - parque nacoes - expo10
entire home/apt,lisbon,parque das nações,12.0,5.0,2,1.0,84.0,sunny flat # river view
entire home/apt,lisbon,beato,1.0,0.0,6,2.0,96.0,touchportugal
entire home/apt,lisbon,areeiro,1.0,0.0,4,1.0,102.0,lisboa center luxury apartment with free parking
entire home/apt,lisbon,parque das nações,1.0,0.0,6,2.0,97.0,"parque das nações, rio | t2 river view |"
entire home/apt,lisbon,arroios,1.0,0.0,2,1.0,94.0,passio inn lisbon -paris studio
entire home/apt,lisbon,areeiro,1.0,0.0,6,2.0,102.0,charming apartment in city center ap. 2bd 2bt
entire home/apt,lisbon,avenidas novas,1.0,0.0,4,2.0,102.0,férias no bairro
entire home/apt,lisbon,parque das nações,6.0,4.5,2,1.0,90.0,apartamento parque das nações 4a
entire home/apt,lisbon,avenidas novas,39.0,5.0,5,3.0,102.0,campo pequeno
entire home/apt,lisbon,arroios,5.0,5.0,3,1.0,84.0,green avila apartment
entire home/apt,lisbon,penha de frança,1.0,0.0,4,2.0,101.0,my place - central - 2 rooms
entire home/apt,lisbon,avenidas novas,3.0,5.0,4,2.0,89.0,elegant apartment by gulbenkian
entire home/apt,lisbon,parque das nações,15.0,5.0,2,1.0,90.0,modern apt in parque das nações
entire home/apt,lisbon,lumiar,1.0,0.0,4,2.0,102.0,apartamento moderno muito bem localizado.
entire home/apt,lisbon,lumiar,6.0,5.0,4,2.0,96.0,"pool, near center, garage, wifi"
entire home/apt,lisbon,arroios,35.0,5.0,5,3.0,96.0,beautiful flat in central lisbon
entire home/apt,lisbon,parque das nações,2.0,0.0,5,2.0,90.0,fine and affordable 2-bedroom flat near the river
entire home/apt,lisbon,avenidas novas,23.0,5.0,6,2.0,94.0,"apartment ""visconde de valmor"", lisboa"
entire home/apt,lisbon,lumiar,3.0,4.5,2,1.0,96.0,contact the owner   add to shortlis
entire home/apt,lisbon,areeiro,13.0,4.5,6,2.0,102.0,apartment near fonte luminosa *2bd apt central*
entire home/apt,lisbon,arroios,10.0,4.5,9,4.0,96.0,casa da avenida iv
entire home/apt,lisbon,avenidas novas,47.0,5.0,8,4.0,84.0,apartment in center of lisbon
entire home/apt,lisbon,são domingos de benfica,1.0,0.0,4,3.0,84.0,"central lisbon, near zoo 3 rooms flat"
entire home/apt,lisbon,parque das nações,2.0,0.0,4,1.0,100.0,apartamento parque das nações 2d
entire home/apt,lisbon,avenidas novas,15.0,5.0,6,2.0,95.0,terrace house 47
entire home/apt,lisbon,parque das nações,1.0,0.0,2,1.0,96.0,prime apartment - parque nacoes - expo15
entire home/apt,lisbon,avenidas novas,46.0,4.5,6,2.0,96.0,apartment elias garcia
entire home/apt,lisbon,parque das nações,12.0,4.5,6,2.0,82.0,terrace guest house in expo - 6 guests capacity
entire home/apt,lisbon,olivais,4.0,4.5,6,3.0,84.0,appartement lumineux dans quartier populaire
entire home/apt,lisbon,arroios,22.0,5.0,4,1.0,96.0,arroios sunset balcony
entire home/apt,lisbon,lumiar,2.0,0.0,4,1.0,102.0,apart lisboa pool-metro
entire home/apt,lisbon,parque das nações,4.0,4.5,6,2.0,96.0,parque das nações house
entire home/apt,lisbon,lumiar,19.0,4.5,6,2.0,102.0,cardoso pires 2 bedrooms apartment
entire home/apt,lisbon,lumiar,2.0,0.0,4,2.0,102.0,apartamento roterdão
entire home/apt,lisbon,lumiar,1.0,0.0,4,2.0,90.0,apartment near the beach! wonderful sea view
entire home/apt,lisbon,parque das nações,3.0,4.5,4,1.0,94.0,apartamento parque das nações 1g
entire home/apt,lisbon,areeiro,8.0,4.5,6,3.0,96.0,amazing light
entire home/apt,lisbon,parque das nações,9.0,5.0,5,2.0,90.0,a quiet place in the city
entire home/apt,lisbon,são domingos de benfica,6.0,4.5,6,2.0,96.0,"páteo central: air-co, garage, pool"
entire home/apt,lisbon,alvalade,21.0,5.0,6,3.0,96.0,alvalade - av.igreja
entire home/apt,lisbon,areeiro,2.0,0.0,3,3.0,90.0,morazzo's friends house
entire home/apt,lisbon,parque das nações,38.0,5.0,6,3.0,100.0,sailing boat & lovely marina
entire home/apt,lisbon,areeiro,6.0,5.0,5,2.0,84.0,the actor´s house: sunny and quiet apartment
entire home/apt,lisbon,parque das nações,21.0,5.0,6,0.0,100.0,caravan for fun #xperience
entire home/apt,lisbon,areeiro,1.0,0.0,6,3.0,102.0,campo pequeno 3 bedroom apartment
entire home/apt,lisbon,areeiro,3.0,4.5,4,1.0,96.0,home out c - loft at city center
entire home/apt,lisbon,parque das nações,2.0,0.0,6,3.0,102.0,"apartment parque das nações, casino of lisbon"
entire home/apt,lisbon,marvila,4.0,3.5,8,3.0,103.0,beato i with 3 bedrooms and terrace
entire home/apt,lisbon,parque das nações,16.0,4.5,2,0.0,84.0,apto zona central do parque das nações
entire home/apt,lisbon,parque das nações,4.0,5.0,4,1.0,101.0,"parque das nações, marina | t1 |"
entire home/apt,lisbon,parque das nações,13.0,4.5,5,2.0,96.0,rising sun apartment
entire home/apt,lisbon,areeiro,2.0,0.0,4,1.0,96.0,home out loft a at city center
entire home/apt,lisbon,lumiar,8.0,4.5,4,2.0,96.0,green executive apartment (c27)
entire home/apt,lisbon,areeiro,3.0,4.0,7,3.0,96.0,"shutterbug, typical apartment"
entire home/apt,lisbon,parque das nações,12.0,5.0,2,1.0,84.0,nice campervan
entire home/apt,lisbon,arroios,22.0,4.5,8,2.0,96.0,daora lisbon carlos mardel 1e
entire home/apt,lisbon,alvalade,19.0,5.0,7,3.0,84.0,prédio rosa
entire home/apt,lisbon,olivais,3.0,4.5,6,3.0,90.0,senna apartment
entire home/apt,lisbon,alvalade,10.0,4.0,4,2.0,96.0,duplex lisboa by porta z
entire home/apt,lisbon,alvalade,1.0,0.0,4,1.0,90.0,lisbon at your feet by unikplaces
entire home/apt,lisbon,areeiro,7.0,5.0,4,1.0,102.0,welcome to lisbon - art & terrace
entire home/apt,lisbon,beato,6.0,5.0,8,2.0,96.0,enlighted apartment in lisbon
entire home/apt,lisbon,areeiro,4.0,4.0,5,3.0,90.0,cosy 3 bedroom with small backyard
entire home/apt,lisbon,parque das nações,4.0,5.0,3,1.0,84.0,your place in lisbon/parque das nações
entire home/apt,lisbon,são domingos de benfica,1.0,0.0,2,0.0,84.0,"style, privacy & comfort - presidential studio"
entire home/apt,lisbon,penha de frança,38.0,4.5,4,2.0,96.0,"flat at quiet street of alameda,/ metro access"
entire home/apt,lisbon,arroios,124.0,5.0,2,1.0,102.0,a happy house close to the sky.
entire home/apt,lisbon,areeiro,3.0,4.5,6,2.0,96.0,go native lisbon - city center apartment
entire home/apt,lisbon,alvalade,3.0,5.0,6,3.0,102.0,new | the patio house ii - your home @ lisbon
entire home/apt,lisbon,lumiar,3.0,5.0,4,2.0,90.0,xugos apartment
entire home/apt,lisbon,parque das nações,3.0,5.0,3,1.0,88.0,expo flat near lisboa marina
entire home/apt,lisbon,areeiro,25.0,4.5,6,2.0,90.0,new! modern and beautiful! sunny terrace. ac. wifi
entire home/apt,lisbon,avenidas novas,9.0,5.0,4,1.0,96.0,cosy lisbon
entire home/apt,lisbon,marvila,9.0,5.0,3,0.0,90.0,mobile home 4 fun
entire home/apt,lisbon,olivais,4.0,5.0,2,1.0,84.0,charming apartment with terrace
entire home/apt,lisbon,parque das nações,1.0,0.0,2,1.0,84.0,excelente  apartamento na expo parque das nações
entire home/apt,lisbon,parque das nações,9.0,5.0,4,2.0,90.0,expo - apartment
entire home/apt,lisbon,areeiro,2.0,0.0,4,1.0,94.0,fonte luminosa terrace guest house
entire home/apt,lisbon,olivais,145.0,4.5,6,2.0,90.0,beautiful apt in expo area
entire home/apt,lisbon,parque das nações,8.0,5.0,2,1.0,94.0,"sun, pool, good life...lisbon love"
entire home/apt,lisbon,parque das nações,4.0,4.5,4,1.0,92.0,"parque das nações, oriente 57 | t1 |"
entire home/apt,lisbon,parque das nações,11.0,4.5,2,1.0,96.0,apto lisboa - parque das nações
entire home/apt,lisbon,parque das nações,8.0,5.0,4,1.0,93.0,"apartment in the best of parque das nações, lisbon"
entire home/apt,lisbon,olivais,14.0,4.5,4,1.0,84.0,cosy 1bd apt near parque nações
entire home/apt,lisbon,parque das nações,4.0,5.0,4,2.0,90.0,cozy and huge apartment in parque das nacoes
entire home/apt,lisbon,olivais,25.0,4.5,5,2.0,102.0,olive's place
entire home/apt,lisbon,parque das nações,4.0,4.5,6,3.0,96.0,the family ground / l'endroit de la familie
entire home/apt,lisbon,parque das nações,21.0,5.0,3,1.0,95.0,superior rentals in lisbon - expo
entire home/apt,lisbon,olivais,11.0,4.5,6,3.0,84.0,duplex in love
entire home/apt,lisbon,parque das nações,33.0,5.0,4,1.0,90.0,trendy cool apartment / best in expo
entire home/apt,lisbon,são vicente,12.0,5.0,4,2.0,92.0,new - graça traditional apartment
entire home/apt,lisbon,penha de frança,6.0,5.0,4,2.0,96.0,2br apartment at graça - lovely terrace! free wifi
entire home/apt,lisbon,misericórdia,4.0,5.0,3,1.0,96.0,romantic gem in santa catarina
entire home/apt,lisbon,são vicente,52.0,5.0,3,1.0,102.0,style and views over lisbon!
entire home/apt,lisbon,santa maria maior,52.0,5.0,5,2.0,96.0,historic lisbon with a view ii
entire home/apt,lisbon,arroios,18.0,4.5,6,3.0,90.0,new!flat with 3 bedr. in the centre
entire home/apt,lisbon,santa maria maior,29.0,4.5,4,2.0,96.0,sé-cathedral: no centro histórico
entire home/apt,lisbon,santa maria maior,95.0,4.5,4,2.0,90.0,the blue house mouraria in lisbon
entire home/apt,lisbon,são vicente,3.0,5.0,3,1.0,96.0,"casa santa marinha, in alfama with private balcony"
entire home/apt,lisbon,santa maria maior,134.0,5.0,4,2.0,84.0,casa do largo - new
entire home/apt,lisbon,são vicente,58.0,5.0,2,1.0,84.0,charming apartment in alfama lisbon w/ lift
entire home/apt,lisbon,são vicente,9.0,5.0,2,1.0,84.0,ground floor apartment in private courtyard
entire home/apt,lisbon,arroios,7.0,5.0,6,2.0,84.0,baron's house (free parking)
entire home/apt,lisbon,santa maria maior,5.0,5.0,4,1.0,90.0,modern downtown castle view apartment
entire home/apt,lisbon,arroios,64.0,5.0,6,2.0,84.0,charming flat in lisbon center
entire home/apt,lisbon,são vicente,64.0,5.0,4,2.0,84.0,2 bedroom home with sunny terrace
entire home/apt,lisbon,arroios,21.0,4.5,6,2.0,96.0,charming flat central lisbon
entire home/apt,lisbon,santa maria maior,2.0,0.0,4,2.0,90.0,apartment with a castle view
entire home/apt,lisbon,são vicente,27.0,5.0,6,3.0,96.0,chris´s 5* family  graça home and patio
entire home/apt,lisbon,são vicente,71.0,5.0,4,2.0,90.0,lightsome house in graça/alfama! casa de sta.clara
entire home/apt,lisbon,santa maria maior,88.0,5.0,4,1.0,96.0,lisbon downtown charming flat
entire home/apt,lisbon,arroios,10.0,3.5,10,5.0,102.0,"""arroios i"" - lisbon classy flat"
entire home/apt,lisbon,arroios,16.0,4.5,6,3.0,90.0,lisbon city centre: suitable for families
entire home/apt,lisbon,arroios,8.0,4.5,7,0.0,90.0,almirante royal apartment - center 
entire home/apt,lisbon,arroios,1.0,0.0,6,3.0,96.0,apartment_city center
entire home/apt,lisbon,arroios,25.0,5.0,4,1.0,90.0,new apartment in lisbon city center
entire home/apt,lisbon,arroios,13.0,5.0,6,2.0,84.0,new! great apartment with terrace
entire home/apt,lisbon,penha de frança,1.0,0.0,6,2.0,95.0,new charming flat with a large patio - city center
entire home/apt,lisbon,arroios,3.0,4.5,6,2.0,96.0,lisboa  - luminous central house
entire home/apt,lisbon,arroios,1.0,0.0,5,2.0,88.0,alameda park
entire home/apt,lisbon,arroios,4.0,5.0,6,2.0,85.0,lx terrace - 2 bedroom with wide terrace apartment
entire home/apt,lisbon,parque das nações,16.0,5.0,4,1.0,96.0,charming apartment w terrace & pool
entire home/apt,lisbon,arroios,21.0,4.5,5,2.0,96.0,apartment with garden
entire home/apt,lisbon,marvila,27.0,4.5,4,1.0,102.0,"riverside brand new flat w/ garage-web summit 5"""
entire home/apt,lisbon,santa maria maior,66.0,5.0,5,2.0,96.0,cozy 2br/perfect historic location
entire home/apt,lisbon,são vicente,2.0,0.0,2,1.0,84.0,"city center, amazing river views"
entire home/apt,lisbon,santa maria maior,1.0,0.0,4,1.0,96.0,alfama river apartments - 4th floor
entire home/apt,lisbon,santa maria maior,27.0,5.0,5,2.0,90.0,castle/alfama historic city center 
entire home/apt,lisbon,arroios,2.0,0.0,4,2.0,96.0,passion inn lisbon- bazaruto house
entire home/apt,lisbon,são vicente,54.0,5.0,5,2.0,95.0,central apartment. amazing view.
entire home/apt,lisbon,são vicente,30.0,4.5,6,2.0,84.0,charm 66 - tradicional flat by lisbon castle/graça
entire home/apt,lisbon,santa maria maior,2.0,0.0,4,2.0,96.0,costa castelo 2 bedroom apartment with wifi
entire home/apt,lisbon,são vicente,45.0,5.0,2,0.0,90.0,senhora do monte apt. - lisbhome
entire home/apt,lisbon,são vicente,1.0,0.0,4,1.0,102.0,lisbon classic ii
entire home/apt,lisbon,são vicente,87.0,4.5,8,3.0,85.0,typical & bright house in heart of historic center
entire home/apt,lisbon,santa maria maior,28.0,4.5,4,2.0,100.0,"sunny, views, castle at your feet"
entire home/apt,lisbon,penha de frança,1.0,0.0,6,3.0,89.0,cool comfortable central bright
entire home/apt,lisbon,santa maria maior,111.0,5.0,4,2.0,102.0,elegant s. miguel apartment
entire home/apt,lisbon,são vicente,67.0,5.0,5,2.0,96.0,sunny balcony & river view @ graça  (a/c /heating)
entire home/apt,lisbon,são vicente,23.0,4.5,5,3.0,96.0,"beautiful, spacious apartment."
entire home/apt,lisbon,santa maria maior,64.0,4.5,3,1.0,89.0,comfort in the heart of alfama
entire home/apt,lisbon,santa maria maior,4.0,5.0,3,2.0,90.0,new. amazing views. quite place. a/c.
entire home/apt,lisbon,penha de frança,7.0,4.5,6,2.0,100.0,2 bedroom rooftop terrace
entire home/apt,lisbon,são vicente,19.0,5.0,6,2.0,84.0,terrace with river & city view santa apolónia
entire home/apt,lisbon,santa maria maior,138.0,5.0,5,2.0,96.0,two bedrooms w/ garden (central heating + wifi)
entire home/apt,lisbon,santa maria maior,60.0,5.0,2,1.0,88.0,alfama oasis
entire home/apt,lisbon,santa maria maior,5.0,5.0,2,1.0,84.0,in love with alfama with private patio
entire home/apt,lisbon,são vicente,34.0,4.5,4,2.0,84.0,melhor vista de lisboa
entire home/apt,lisbon,santa maria maior,12.0,5.0,4,1.0,84.0,sol i-centre of old lisbon/alfama/castle
entire home/apt,lisbon,santa maria maior,46.0,4.0,6,2.0,84.0,cozy 2bd in the heart of alfama
entire home/apt,lisbon,penha de frança,16.0,4.5,5,3.0,84.0,central apartment
entire home/apt,lisbon,santa maria maior,2.0,0.0,4,2.0,96.0,salvador 1 in alfama
entire home/apt,lisbon,santa maria maior,12.0,4.5,2,1.0,96.0,design apt @ lisbon historic centre
entire home/apt,lisbon,santa maria maior,18.0,4.5,6,1.0,93.0,alfama river terraces
entire home/apt,lisbon,santa maria maior,171.0,5.0,6,2.0,84.0,beautiful duplex in the castle area
entire home/apt,lisbon,arroios,41.0,5.0,6,2.0,102.0,early century vibe with a modern & tropical twist
entire home/apt,lisbon,santa maria maior,13.0,5.0,5,3.0,96.0,alfama hideout overlooking tejo (with terrace!)
entire home/apt,lisbon,santa maria maior,49.0,5.0,4,1.0,88.0,stylish apartment inside the castle
entire home/apt,lisbon,são vicente,53.0,4.5,4,2.0,102.0,beautiful apartment with river view
entire home/apt,lisbon,são vicente,5.0,5.0,4,1.0,102.0,lovely graça garden view appartment
entire home/apt,lisbon,são vicente,28.0,4.5,2,1.0,90.0,"vue sur le tage, au pied du chateau"
entire home/apt,lisbon,santa maria maior,94.0,5.0,6,3.0,96.0,alfama apart in rua dos remédios
entire home/apt,lisbon,santa maria maior,1.0,0.0,4,1.0,90.0,lxway apartments alfama - rua dos corvos
entire home/apt,lisbon,santa maria maior,23.0,5.0,4,1.0,84.0,the cosy castle apartments 2
entire home/apt,lisbon,são vicente,29.0,4.5,2,1.0,90.0,graça garden
entire home/apt,lisbon,são vicente,3.0,4.5,2,1.0,88.0,new!!! cozy lisbon graça 2a
entire home/apt,lisbon,santa maria maior,171.0,5.0,4,2.0,90.0,alfama terrace on tejo 
entire home/apt,lisbon,santa maria maior,7.0,4.5,4,1.0,90.0,alfama rose apartments - sardine
entire home/apt,lisbon,penha de frança,1.0,0.0,3,2.0,84.0,over 100 stairs up !
entire home/apt,lisbon,santa maria maior,98.0,5.0,6,3.0,90.0,alfama - duplex vista rio até 6 pax
entire home/apt,lisbon,são vicente,80.0,4.5,5,2.0,102.0,2 bedroom apt. with terrace graca
entire home/apt,lisbon,são vicente,2.0,0.0,6,1.0,96.0,sunny terrace apartment
entire home/apt,lisbon,santa maria maior,89.0,5.0,4,1.0,84.0,look in lisbon - castle with charm
entire home/apt,lisbon,santa maria maior,25.0,5.0,3,1.0,84.0,alfama river view
entire home/apt,lisbon,santa maria maior,4.0,5.0,4,2.0,84.0,alfama photography house 3
entire home/apt,lisbon,são vicente,4.0,5.0,4,2.0,100.0,"rêve d'alfama. parking, ac and terrace. tram 28."
entire home/apt,lisbon,são vicente,8.0,5.0,9,3.0,84.0,the ground floor (graça)
entire home/apt,lisbon,penha de frança,19.0,5.0,8,3.0,90.0,"3 bedrooms, free parking, metro 5min by walk"
entire home/apt,lisbon,santa maria maior,11.0,5.0,3,1.0,90.0,casa do castelo apartment
entire home/apt,lisbon,penha de frança,2.0,0.0,6,2.0,90.0,"nutmeg white apartment, alameda, lisbon"
entire home/apt,lisbon,santa maria maior,239.0,5.0,3,1.0,84.0,alfama blue house i (river view)
entire home/apt,lisbon,arroios,28.0,5.0,4,1.0,96.0,28 tram duplex apartment - happy weekends
entire home/apt,lisbon,santa maria maior,37.0,5.0,5,3.0,96.0,spacious terrace with a great view
entire home/apt,lisbon,misericórdia,97.0,4.5,2,1.0,102.0,bairro alto penthouse with terrace
entire home/apt,lisbon,misericórdia,19.0,5.0,4,2.0,90.0,combro penthouse apartment . bairro alto/chiado
entire home/apt,lisbon,campo de ourique,2.0,0.0,4,1.0,90.0,new flat - central - downtown - metro - tram
entire home/apt,lisbon,são vicente,2.0,0.0,6,2.0,90.0,casa da travessa ii - graça historic center city
entire home/apt,lisbon,santa maria maior,89.0,4.5,4,1.0,87.0,lisbon downtown apartment
entire home/apt,lisbon,misericórdia,14.0,5.0,7,2.0,92.0,right in the heart of lisbon!
entire home/apt,lisbon,santa maria maior,7.0,4.5,2,1.0,93.0,"new! perfect love nest, at the doors of the castle"
entire home/apt,lisbon,misericórdia,132.0,4.5,4,1.0,89.0,bairro alto roofs view - youlisbon
entire home/apt,lisbon,santa maria maior,73.0,5.0,4,2.0,95.0,"family apartment,castelo area: view&garden"
entire home/apt,lisbon,misericórdia,4.0,4.5,4,2.0,96.0,cais do sodré duplex with patio
entire home/apt,lisbon,campo de ourique,49.0,4.5,4,0.0,84.0,sightseeing loft
entire home/apt,lisbon,misericórdia,126.0,5.0,3,1.0,102.0,roof terrace@bairro alto/principe r
entire home/apt,lisbon,santo antónio,7.0,4.5,4,1.0,96.0,downtown trendy apartment by be@home
entire home/apt,lisbon,misericórdia,57.0,4.5,4,2.0,84.0,charming apartment in city center2b
entire home/apt,lisbon,misericórdia,20.0,5.0,4,1.0,84.0,charming flat in the heart of bica
entire home/apt,lisbon,santo antónio,12.0,4.5,4,2.0,96.0,apartment in lisbon 265 - príncipe real
entire home/apt,lisbon,santo antónio,49.0,5.0,7,3.0,96.0,central lisboa with a garden
